TimeStamp,Fan,PC,AC,Lamp,TV,All
02-01-24 0:00,0.0644,0,1.2564,0,0.0004,1.3212
02-01-24 1:00,0.064,0,0.8624,0,0.0004,0.9268
02-01-24 2:00,0.064,0,0.9836,0,0.0008,1.0484
02-01-24 3:00,0.064,0,1.0292,0,0.0004,1.0936
02-01-24 4:00,0.064,0,0.6736,0.008,0.0328,0.7784
02-01-24 5:00,0.064,0.21,0.7476,0.0388,0.1432,1.2036
02-01-24 6:00,0.064,0.26,0.88,0.0864,0.1392,1.4296
02-01-24 7:00,0.064,0.08,0.9372,0.0812,0.1384,1.3008
02-01-24 8:00,0.0648,0.09,1.2388,0.0524,0.1348,1.5808
02-01-24 9:00,0.0652,0,1.2948,0.0352,0.132,1.5272
02-01-24 10:00,0.0712,0,1.7524,0.0348,0.1328,1.9912
02-01-24 11:00,0.0912,0,1.9176,0.032,0.1344,2.1752
02-01-24 12:00,0.066,0,1.9428,0.0408,0.1408,2.1904
02-01-24 13:00,0.066,0,1.8184,0.0328,0.1384,2.0556
02-01-24 14:00,0.2156,0,1.5288,0.0352,0.1364,1.916
02-01-24 15:00,0.3568,0.19,2.1156,0.0316,0.1332,2.8272
02-01-24 16:00,0.2504,0.29,2.0412,0.0312,0.1344,2.7472
02-01-24 17:00,0.0888,0.21,2.6776,0.0384,0.2556,3.2704
02-01-24 18:00,0.196,0.18,2.5316,0.0448,0.1776,3.13
02-01-24 19:00,0.0656,0.06,2.2048,0.0604,0.1384,2.5292
02-01-24 20:00,0.1232,0,2.0612,0.0236,0.0784,2.2864
02-01-24 21:00,0.1248,0,1.2892,0.0168,0.0008,1.4316
02-01-24 22:00,0.0712,0,1.3148,0.0012,0.0008,1.388
02-01-24 23:00,0.0644,0,0.9868,0,0.0012,1.0524
02-02-24 0:00,0.0644,0,1.278,0,0.0008,1.3432
02-02-24 1:00,0.0644,0,0.8556,0,0.0004,0.9204
02-02-24 2:00,0.0644,0,0.93,0,0.0004,0.9948
02-02-24 3:00,0.0644,0,1.0912,0.0028,0.0004,1.1588
02-02-24 4:00,0.082,0.32,0.1576,0.074,0.0008,0.6344
02-02-24 5:00,0.0924,0.34,0.3608,0.1212,0.0936,1.008
02-02-24 6:00,0.0924,0.2,0,0.098,0.1476,0.538
02-02-24 7:00,0.0928,0.06,0,0.0816,0.1408,0.3752
02-02-24 8:00,0.0928,0.05,0,0.0636,0.1352,0.3416
02-02-24 9:00,0.0928,0,0,0.0424,0.134,0.2692
02-02-24 10:00,0.074,0,0,0.0324,0.1324,0.2388
02-02-24 11:00,0.0668,0,2.1564,0.0196,0.1376,2.3804
02-02-24 12:00,0.078,0,2.618,0.032,0.1408,2.8688
02-02-24 13:00,0.1004,0,2.4664,0.0648,0.1384,2.77
02-02-24 14:00,0.0996,0.15,1.1756,0.0436,0.136,1.6048
02-02-24 15:00,0.0824,0.28,2.5684,0.0328,0.134,3.0976
02-02-24 16:00,0.0664,0.37,2.588,0.0348,0.1336,3.1928
02-02-24 17:00,0.0656,0.25,2.478,0.0416,0.1384,2.9736
02-02-24 18:00,0.0656,0,2.0624,0.0628,0.1396,2.3304
02-02-24 19:00,0.0656,0,1.7448,0.034,0.136,1.9804
02-02-24 20:00,0.0652,0,2.0128,0.0332,0.066,2.1772
02-02-24 21:00,0.0644,0.05,0.8472,0,0.0008,0.9624
02-02-24 22:00,0.0644,0.04,0.8868,0,0.0008,0.992
02-02-24 23:00,0.0644,0.07,0.8492,0,0.002,0.9856
02-03-24 0:00,0.0644,0.09,0.8748,0,0.0012,1.0304
02-03-24 1:00,0.0644,0,0.8456,0,0.0004,0.9104
02-03-24 2:00,0.0644,0.08,0.7344,0,0.0004,0.8792
02-03-24 3:00,0.064,0.11,0.584,0,0.0008,0.7588
02-03-24 4:00,0.0644,0,0.8724,0.0016,0.0004,0.9388
02-03-24 5:00,0.0644,0.06,0.45,0.0156,0.0012,0.5912
02-03-24 6:00,0.0644,0.05,0.9244,0.0524,0.0004,1.0916
02-03-24 7:00,0.0644,0,0.8688,0.0608,0.026,1.02
02-03-24 8:00,0.0644,0.05,0.8916,0.0328,0.3304,1.3692
02-03-24 9:00,0.0644,0.03,0.9404,0.032,0.2668,1.3336
02-03-24 10:00,0.0648,0.05,1.3984,0.0312,0.0004,1.5448
02-03-24 11:00,0.0648,0,1.3052,0.034,0.0004,1.4044
02-03-24 12:00,0.0652,0,1.7152,0.032,0.1036,1.916
02-03-24 13:00,0.0652,0,1.5412,0.0076,0.1404,1.7544
02-03-24 14:00,0.2028,0.03,2.116,0.0032,0.1368,2.4888
02-03-24 15:00,0.0656,0.04,2.3236,0.0168,0.1372,2.5832
02-03-24 16:00,0.0652,0.08,2.1816,0.0316,0.136,2.4944
02-03-24 17:00,0.084,0,1.816,0.0612,0.1472,2.1084
02-03-24 18:00,0.094,0,2.5024,0.046,0.1428,2.7852
02-03-24 19:00,0.0936,0.03,1.312,0.03,0.1576,1.6232
02-03-24 20:00,0.0804,0.05,1.6844,0.03,0.1016,1.9464
02-03-24 21:00,0.0648,0.03,0.9692,0.0068,0.0008,1.0716
02-03-24 22:00,0.0648,0.07,1.1984,0.0084,0.0008,1.3424
02-03-24 23:00,0.0648,0,1.2804,0,0.0008,1.346
02-04-24 0:00,0.0648,0.08,0.8572,0,0.0008,1.0028
02-04-24 1:00,0.0644,0.02,1.0636,0,0.0004,1.1484
02-04-24 2:00,0.0644,0,1.0656,0.0012,0.0012,1.1324
02-04-24 3:00,0.064,0.06,0.7416,0.0008,0.0004,0.8668
02-04-24 4:00,0.064,0.05,0.6848,0,0.0004,0.7992
02-04-24 5:00,0.064,0,0.7748,0.03,0.0004,0.8692
02-04-24 6:00,0.0644,0.06,0.8688,0.0472,0.0004,1.0408
02-04-24 7:00,0.1072,0.07,0.9296,0.0336,0.0008,1.1412
02-04-24 8:00,0.3768,0.05,1.3764,0.0308,0.0012,1.8352
02-04-24 9:00,0.3748,0,1.0924,0.0332,0.0012,1.5016
02-04-24 10:00,0.37,0.04,1.7276,0.0336,0.0592,2.2304
02-04-24 11:00,0.226,0.01,2.15,0.0384,0.14,2.5644
02-04-24 12:00,0.0708,0.03,2.3212,0.0396,0.1388,2.6004
02-04-24 13:00,0.3624,0.02,2.3148,0.032,0.1384,2.8676
02-04-24 14:00,0.0612,0.03,1.9068,0.0496,0.1264,2.174
02-04-24 15:00,0.0648,0.02,2.1484,0.0568,0.1364,2.4264
02-04-24 16:00,0.0656,0.03,2.1932,0.0592,0.136,2.484
02-04-24 17:00,0.0648,0.06,1.576,0.0572,0.2968,2.0548
02-04-24 18:00,0.1024,0.04,1.6616,0.0592,0.1912,2.0544
02-04-24 19:00,0.192,0.03,1.288,0.0516,0.1292,1.6908
02-04-24 20:00,0.0644,0.09,1.3708,0.0536,0.1388,1.7176
02-04-24 21:00,0.064,0.04,0.942,0.008,0.0204,1.0744
02-04-24 22:00,0.064,0.08,1.1844,0,0.0004,1.3288
02-04-24 23:00,0.064,0.09,0.8552,0,0.0004,1.0096
02-05-24 0:00,0.064,0.03,0.6736,0,0.0004,0.768
02-05-24 1:00,0.0636,0.06,0.6416,0.0012,0.0004,0.7668
02-05-24 2:00,0.064,0.05,0.8568,0,0.0004,0.9712
02-05-24 3:00,0.0636,0.04,0.4588,0.0008,0.0004,0.5636
02-05-24 4:00,0.0668,0.07,0.4544,0.0784,0.0432,0.7128
02-05-24 5:00,0.0804,0.03,0,0.0928,0.1416,0.3448
02-05-24 6:00,0.082,0.05,0,0.0564,0.1524,0.3408
02-05-24 7:00,0.1032,0.04,0,0.0316,0.14,0.3148
02-05-24 8:00,0.0884,0.06,0,0.0316,0.1352,0.3152
02-05-24 9:00,0.0644,0.05,0,0.0324,0.1312,0.278
02-05-24 10:00,0.0644,0.03,0,0.0336,0.132,0.26
02-05-24 11:00,0.1544,0.04,0,0.0292,0.134,0.3576
02-05-24 12:00,0.1524,0.05,0,0.0336,0.138,0.374
02-05-24 13:00,0.096,0.01,1.408,0.0376,0.142,1.6936
02-05-24 14:00,0.126,0,2.6464,0.0448,0.1384,2.9556
02-05-24 15:00,0.0652,0.01,1.8144,0.0624,0.1336,2.0856
02-05-24 16:00,0.0652,0.07,2.014,0.054,0.1336,2.3368
02-05-24 17:00,0.0696,0.04,1.9848,0.0636,0.1388,2.2968
02-05-24 18:00,0.0936,0.06,1.9036,0.0616,0.1456,2.2644
02-05-24 19:00,0.0784,0,1.756,0.062,0.1372,2.0336
02-05-24 20:00,0.0648,0.08,1.7696,0.0704,0.0812,2.066
02-05-24 21:00,0.0648,0.02,1.5888,0.0216,0.0008,1.696
02-05-24 22:00,0.0644,0,1.5856,0,0.0008,1.6508
02-05-24 23:00,0.0644,0.06,1.576,0,0.0008,1.7012
02-06-24 0:00,0.0644,0.06,1.5536,0,0.0004,1.6784
02-06-24 1:00,0.064,0,1.1684,0.0004,0.0008,1.2336
02-06-24 2:00,0.064,0.06,1.1784,0,0.0004,1.3028
02-06-24 3:00,0.064,0.08,1.1676,0.002,0.0008,1.3144
02-06-24 4:00,0.064,0.05,0.0944,0.0648,0.074,0.3472
02-06-24 5:00,0.0824,0.01,0,0.086,0.1008,0.2792
02-06-24 6:00,0.0796,0.04,0,0.0632,0.1428,0.3256
02-06-24 7:00,0.064,0.02,0,0.0448,0.1388,0.2676
02-06-24 8:00,0.0652,0.04,0,0.0144,0.134,0.2536
02-06-24 9:00,0.0644,0.02,0,0.0304,0.1316,0.2464
02-06-24 10:00,0.0644,0.04,0,0.0312,0.1312,0.2668
02-06-24 11:00,0.1344,0.03,0,0.0528,0.1388,0.356
02-06-24 12:00,0.1844,0,0,0.0576,0.1416,0.3836
02-06-24 13:00,0.1888,0.02,1.4292,0.0452,0.0936,1.7768
02-06-24 14:00,0.066,0.04,2.2148,0.0332,0.1372,2.4912
02-06-24 15:00,0.0652,0.03,2.006,0.034,0.14,2.2752
02-06-24 16:00,0.0656,0.09,1.9348,0.0504,0.1336,2.2744
02-06-24 17:00,0.066,0.04,2.0224,0.0644,0.142,2.3348
02-06-24 18:00,0.0652,0.02,1.6384,0.06,0.1432,1.9268
02-06-24 19:00,0.0652,0.11,1.848,0.056,0.1364,2.2156
02-06-24 20:00,0.0648,0.03,1.7608,0.0376,0.0768,1.97
02-06-24 21:00,0.0648,0.06,1.61,0.002,0.0012,1.738
02-06-24 22:00,0.0648,0,1.6,0,0.0012,1.666
02-06-24 23:00,0.0644,0.04,1.4368,0,0.0004,1.5416
02-07-24 0:00,0.0644,0.07,1.368,0,0.0004,1.5028
02-07-24 1:00,0.0644,0.03,1.5772,0,0.0008,1.6724
02-07-24 2:00,0.0644,0.05,0.8088,0.0016,0.0008,0.9256
02-07-24 3:00,0.064,0.09,0.4164,0.008,0.0016,0.58
02-07-24 4:00,0.064,0.07,0.3968,0.0736,0.1056,0.71
02-07-24 5:00,0.104,0,0,0.0836,0.146,0.3336
02-07-24 6:00,0.0924,0.05,0,0.0688,0.1428,0.354
02-07-24 7:00,0.064,0.08,0,0.0488,0.1368,0.3296
02-07-24 8:00,0.1612,0.05,0,0.0332,0.1348,0.3792
02-07-24 9:00,0.1588,0,0,0.0516,0.1316,0.342
02-07-24 10:00,0.1488,0,0,0.058,0.1316,0.3384
02-07-24 11:00,0.1236,0.32,0,0.04,0.1344,0.618
02-07-24 12:00,0.0644,0.34,0,0.0324,0.2008,0.6376
02-07-24 13:00,0.1836,0.2,1.5428,0.0336,0.1656,2.1256
02-07-24 14:00,0.0824,0.06,1.6796,0.0324,0.1384,1.9928
02-07-24 15:00,0.0676,0.05,0.944,0.046,0.1332,1.2408
02-07-24 16:00,0.0648,0,1.88,0.0396,0.1352,2.1196
02-07-24 17:00,0.2404,0,1.8648,0.0612,0.1376,2.304
02-07-24 18:00,0.118,0,1.5612,0.0404,0.1416,1.8612
02-07-24 19:00,0.17,0,1.5536,0.0408,0.1344,1.8988
02-07-24 20:00,0.098,0,1.178,0.0532,0.0692,1.3984
02-07-24 21:00,0.064,0.15,0.4296,0,0.0008,0.6444
02-07-24 22:00,0.064,0.28,0.4252,0,0.0012,0.7704
02-07-24 23:00,0.064,0.37,0.4308,0,0.0008,0.8656
